Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22uF","C_0805_2012Metric",146.500000,-68.000000,0.000000,top
"C2","0.1uF","C_0402_1005Metric",146.000000,-70.050000,0.000000,top
"C3","10pF","C_0402_1005Metric",146.000000,-71.550000,0.000000,top
"C4","33pF","C_0402_1005Metric",146.000000,-73.100000,0.000000,top
"C5","22uF","C_0805_2012Metric",136.200000,-63.700000,90.000000,top
"C6","0.1uF","C_0402_1005Metric",140.800000,-65.250000,0.000000,top
"C7","22uF","C_0805_2012Metric",143.050000,-60.100000,90.000000,top
"C8","0.1uF","C_0402_1005Metric",145.250000,-86.950000,-90.000000,top
"C9","0.1uF","C_0402_1005Metric",146.250000,-90.550000,0.000000,top
"C10","1uF","C_0603_1608Metric",133.500000,-60.300000,-90.000000,top
"D1","SMF15A","D_SOD-123",129.000000,-55.000000,0.000000,top
"D2","LED","LED_0201_0603Metric",113.500000,-91.300000,-90.000000,top
"D3","SMF15A","D_SOD-123",129.000000,-63.000000,0.000000,top
"D4","SMF15A","D_SOD-123",129.000000,-59.000000,0.000000,top
"J1","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",137.625000,-55.400000,90.000000,top
"J2","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",130.550000,-95.700000,-90.000000,top
"J_RF1","Conn_Coaxial_Small","U.FL_Hirose_U.FL-R-SMT-1_Vertical",114.230000,-83.250000,180.000000,top
"J_SIM1","JAE_SIM_Card_SF72S006","JAE_SIM_Card_SF72S006",120.115000,-60.980000,-90.000000,top
"J_UART1","Conn_01x04","PinHeader_1x04_P2.54mm_Vertical",113.080000,-95.700000,90.000000,top
"L1","2.2uH","L_1210_3225Metric",144.450000,-64.150000,0.000000,top
"Q1","NPN","SOT-23",119.650000,-91.850000,0.000000,top
"R1","4.7k","R_0402_1005Metric",145.250000,-81.300000,-90.000000,top
"R2","10k","R_0402_1005Metric",146.800000,-81.250000,-90.000000,top
"R3","374k","R_0402_1005Metric",140.550000,-60.250000,180.000000,top
"R4","100k","R_0402_1005Metric",138.400000,-60.250000,180.000000,top
"R5","22","R_0402_1005Metric",146.250000,-94.150000,0.000000,top
"R6","22","R_0402_1005Metric",146.250000,-92.750000,0.000000,top
"R7","22","R_0402_1005Metric",128.000000,-57.000000,0.000000,top
"R8","22","R_0402_1005Metric",128.000000,-61.000000,0.000000,top
"R9","22","R_0402_1005Metric",128.000000,-65.000000,0.000000,top
"R10","2.2k","R_0402_1005Metric",115.350000,-91.450000,-90.000000,top
"R11","4.7k","R_0402_1005Metric",123.250000,-91.850000,-90.000000,top
"R12","47k","R_0402_1005Metric",127.550000,-91.850000,90.000000,top
"U1","~","C16QS",130.450000,-78.000000,90.000000,top
"U3","AP62250WU","TSOT-23-6",139.450000,-62.700000,180.000000,top
"U_UART_LS1","TXS0104ED","SOIC-14_3.9x8.7mm_P1.27mm",140.280000,-93.775000,-90.000000,top
